image_id,category,置信度,score
829988,waterfall/fan,0.6155,6.848684211
125095,art_school,0.8963,6.375886525
283005,forest_road,0.955,5.58781362
67217,dentists_office,0.6376,4.727969349
609854,igloo,0.5203,4.121359223
824098,control_tower/outdoor,0.76,5.549019608
282170,highway,0.8021,6.151202749
490466,tower,0.6694,4.496855346
823115,stadium/football,0.6665,5.611702128
736391,elevator/interior,0.5536,3.893617021
72651,butte,0.5358,6.028368794
939827,coffee_shop,0.9603,4.950980392
774793,chemistry_lab,0.6299,4.005291005
877191,skatepark,1.0,5.653631285
943143,physics_laboratory,0.7263,4.612612613
118991,canal/urban,0.7543,5.397959184
499058,volcano,0.5037,5.703125
248117,garage/indoor,0.8989,4.47311828
32156,slum,0.9095,5.245833333
5248,planetarium/outdoor,0.5627,5.524475524
743642,highway,0.8519,4.85
397946,engine_room,0.5032,3.982532751
501850,jacuzzi/indoor,0.9388,4.626459144
650247,veterinarians_office,0.5248,5.876237624
10445,burial_chamber,0.6515,4.194174757
737669,canal/natural,0.9894,4.234741784
927054,ski_slope,0.5097,5.69005848
867092,diner/indoor,0.6142,4.828877005
474511,car_interior/frontseat,0.561,5.5
239237,bow_window/outdoor,0.8527,4.48013245
554597,parking_lot,0.8877,4.6796875
168141,raft,0.8256,5.391666667
124201,art_school,0.53,4.915057915
548079,highway,0.5369,4.924137931
88198,butte,0.7407,5.16254417
277383,stage/indoor,0.9352,5.696969697
738658,boardwalk,0.8412,4.971962617
419096,corn_field,0.906,5.220338983
272974,escalator/indoor,0.5981,6.036912752
93853,car_interior/frontseat,0.7014,4.37007874
13831,viaduct,0.6311,6.676056338
110313,physics_laboratory,0.5833,5.498084291
80006,athletic_field/outdoor,0.5748,5.267973856
777652,attic,0.8594,5.504950495
173307,bow_window/outdoor,0.5645,4.527472527
638822,wind_farm,0.9476,5.51369863
942253,marsh,0.5102,5.237885463
131256,burial_chamber,0.7946,4.87109375
475867,ice_floe,0.5758,5.681034483
344431,biology_laboratory,0.6451,6.049808429
951977,greenhouse/indoor,0.6541,5.412121212
795143,ruin,0.946,5.923076923
614583,athletic_field/outdoor,0.8632,4.944099379
605236,medina,0.9768,4.738738739
328447,childs_room,0.7065,6.021052632
603615,river,0.9727,5.178571429
112313,electrical_substation,0.9037,4.139784946
751750,bayou,0.7635,5.555555556
343813,volcano,0.8297,5.438271605
512293,highway,0.6968,5.723214286
312860,shower,0.695,5.722488038
331157,planetarium/outdoor,0.7642,5.939189189
461468,diner/indoor,0.9198,4.994444444
62877,ice_floe,0.641,5.922178988
426255,palace,0.6534,4.286585366
835950,hill,0.8977,5.688311688
649402,waiting_room,0.828,4.131707317
17436,art_school,0.7431,4.417431193
246341,limousine_interior,0.5469,5.623318386
314550,mountain_snowy,0.8621,6.165745856
586886,electrical_substation,0.9855,5.264044944
501400,ice_floe,0.7911,5.627777778
198125,jacuzzi/indoor,0.8308,5.381944444
71311,heliport,0.8627,4.611111111
714689,wine_cellar/bottle_storage,0.6217,5.748387097
317691,shopfront,0.9627,4.57751938
611646,stable,0.9094,5.904191617
446638,kennel/outdoor,0.9709,5.088709677
50858,limousine_interior,0.882,4.57
102246,planetarium/outdoor,0.9716,5.75
741807,dentists_office,0.7689,6.538461538
262396,swamp,0.5207,4.800724638
388862,vineyard,0.7355,4.417293233
627895,car_interior/frontseat,0.5313,6.096385542
233921,baseball_field,0.7838,5.50877193
367848,mausoleum,0.9493,4.935828877
752251,tower,0.8891,4.913907285
4917,childs_room,0.7563,5.114754098
848801,bayou,0.5679,5.81557377
96907,staircase,0.588,5.328025478
883342,elevator/door,0.921,4.843575419
13004,wheat_field,0.5638,5.410891089
462495,desert/vegetation,0.808,4.59375
426376,swamp,0.7312,6.538720539
505655,igloo,0.5944,5.859550562
65813,shopfront,0.9776,4.852272727
847412,playground,0.9975,6.581081081
578146,butte,0.5546,6.284768212
858989,dentists_office,0.6062,5.805755396
242067,market/outdoor,0.9889,5.12195122
48806,kennel/outdoor,0.5806,5.736842105
911616,mountain,0.5536,4.525252525
888367,corridor,0.7203,6.097701149
571853,bayou,0.6114,5.701923077
691888,forest_road,0.7175,4.75
15031,veterinarians_office,0.5382,5.556603774
90461,sea_cliff,0.8103,5.424581006
885889,desert/sand,0.8391,5.954198473
778322,ruin,0.5501,4.84375
154473,butte,0.8645,5.368663594
836908,lift_bridge,0.5263,6.614379085
61717,fire_escape,0.8494,5.192546584
571376,market/outdoor,0.8777,4.417085427
923207,motel,0.8616,5.371727749
325466,underwater/coral_reef,0.5518,5.946601942
305382,catacomb,0.5553,5.730569948
19983,street,0.8863,5.542056075
318576,fire_escape,0.8893,5.12244898
78711,planetarium/outdoor,0.7334,5.120805369
230978,canal/natural,0.8492,5.071698113
42335,coffee_shop,0.9719,7.132911392
769255,igloo,0.9206,5.366412214
743637,waterfall/plunge,0.5986,6.611111111
453727,boat_deck,0.8646,6.336633663
771054,butte,0.5856,6.0
137148,ruin,0.9638,6.551912568
152671,river,0.5212,4.901234568
431797,greenhouse/indoor,0.543,4.873015873
675804,baseball_field,0.6187,6.95045045
306842,bus_interior,0.997,4.833333333
610149,burial_chamber,0.5267,5.632653061
4225,library/indoor,0.5831,5.229007634
277970,beauty_salon,0.5683,6.046052632
505385,moat/water,0.9886,6.013157895
771259,hospital_room,0.5497,5.666666667
551335,boat_deck,0.6786,4.98245614
181328,gift_shop,0.7307,4.7090301
194,butte,0.5407,5.006849315
282444,forest_road,0.5351,5.097826087
362049,airplane_cabin,0.9995,4.285714286
196950,beauty_salon,0.9705,5.368627451
52646,forest_path,0.5049,6.049382716
62399,volcano,0.8735,5.162921348
185790,construction_site,0.6329,4.915789474
236644,industrial_area,0.5274,5.196531792
853931,slum,0.5941,6.151515152
388008,desert/vegetation,0.5456,5.941908714
94079,dining_car,0.8687,5.127413127
128337,shower,0.696,5.0
460683,waterfall/fan,0.5977,5.222972973
872520,dentists_office,0.6408,5.693617021
619840,playroom,0.5704,4.901639344
691008,gas_station,0.999,4.864
634230,mausoleum,0.8466,6.038793103
336185,beauty_salon,0.7041,6.393728223
429084,islet,0.9474,6.410377358
710865,doorway/outdoor,0.9406,5.801980198
281877,boardwalk,0.5287,5.804054054
55077,slum,0.5581,6.045081967
792283,skatepark,0.9776,6.127906977
650736,kennel/outdoor,0.5889,6.485436893
570104,hayfield,0.848,4.594202899
24395,raft,0.7679,5.848
852598,waiting_room,0.544,6.055248619
725961,childs_room,0.5746,6.398148148
442193,booth/indoor,0.8271,5.093617021
273270,hayfield,0.809,5.120567376
263549,wine_cellar/bottle_storage,0.8772,5.408921933
773508,atrium/public,0.6245,4.502463054
363857,raft,0.9792,5.429065744
814390,escalator/indoor,0.5209,5.909090909
177797,driveway,0.7229,4.4875
537649,swamp,0.5821,5.251851852
443967,marsh,0.7938,5.105555556
708677,home_office,0.729,5.802197802
426439,youth_hostel,0.5037,5.444444444
265543,ice_floe,0.9929,4.859016393
408419,swamp,0.6889,5.921658986
878424,fairway,0.7918,5.201298701
100542,volcano,0.5026,4.397058824
329297,underwater/coral_reef,0.5783,5.565957447
118888,lock_chamber,0.6628,5.36677116
858162,planetarium/outdoor,0.8346,5.675276753
808111,mountain,0.8123,6.326530612
4693,art_school,0.703,5.124528302
954116,elevator/door,0.9641,5.541984733
313713,veterinarians_office,0.8954,6.555555556
78561,wet_bar,0.9592,5.466216216
132873,medina,0.6088,6.098039216
310799,martial_arts_gym,0.731,5.789473684
11268,coffee_shop,0.943,5.298969072
740286,archive,0.7267,5.856287425
10851,windmill,0.9982,6.438297872
947159,shower,0.6945,4.311403509
294021,chemistry_lab,0.7773,5.765432099
832576,swamp,0.6824,5.482517483
96940,music_store,0.7451,5.093548387
591829,childs_room,0.5012,5.530726257
604084,highway,0.5164,5.300492611
648767,viaduct,0.8765,6.846153846
840151,youth_hostel,0.5907,6.075
773771,cockpit,0.6946,5.630841121
337366,stadium/football,0.5965,5.416309013
468321,fishpond,0.9201,4.380368098
151582,igloo,0.9477,4.094224924
447323,pulpit,0.5733,5.029411765
483626,bayou,0.8785,5.209039548
60676,ice_floe,0.9391,5.15625
737618,gas_station,0.9994,5.401234568
624923,stage/indoor,0.7975,4.850931677
922724,bathroom,0.5291,6.016042781
464878,childs_room,0.9206,5.200892857
33350,physics_laboratory,0.8572,5.590909091
711819,doorway/outdoor,0.8584,5.16097561
206341,trench,0.533,4.512915129
69387,river,0.6682,4.862318841
765970,street,0.7186,5.078651685
52753,swamp,0.8999,5.684466019
810109,hayfield,0.9822,6.535483871
695396,mausoleum,0.9843,4.755952381
40985,fire_escape,0.5974,4.23580786
775844,subway_station/platform,0.7379,5.158974359
912123,hayfield,0.9949,5.443548387
48125,wet_bar,0.5939,4.837719298
536335,boat_deck,0.7842,4.946564885
255525,pantry,0.5803,4.980237154
679024,archive,0.6094,5.76
925834,beauty_salon,0.9382,5.904109589
630808,childs_room,0.7952,6.050938338
203754,swamp,0.641,5.203773585
778255,beauty_salon,0.9906,6.42
324509,greenhouse/indoor,0.6389,4.9218107
523661,church/outdoor,0.7961,6.065989848
4611,art_school,0.9488,7.635687732
952147,underwater/coral_reef,0.803,4.345454545
562001,canal/urban,0.8787,4.838150289
843010,carrousel,0.9251,5.296511628
291899,bow_window/outdoor,0.775,5.675675676
24380,gift_shop,0.6841,3.694560669
37152,wine_cellar/bottle_storage,0.5035,4.424731183
361292,boat_deck,0.6565,5.040816327
110370,elevator/door,0.7012,5.8203125
564243,mountain,0.5277,6.367647059
709902,art_studio,0.5732,5.937823834
855191,cathedral/outdoor,0.874,5.744966443
19718,skatepark,0.9586,6.0456621
37035,mausoleum,0.5398,4.64893617
863601,volcano,0.9981,6.549668874
192906,pagoda,0.5328,3.806569343
690218,boat_deck,0.5385,6.787878788
941608,castle,0.939,6.111111111
294139,field/cultivated,0.707,6.674311927
441100,wine_cellar/bottle_storage,0.6137,5.390410959
173063,sea_cliff,0.5199,5.911764706
639877,church/outdoor,0.5134,5.213903743
872625,lift_bridge,0.5579,5.455128205
36287,elevator/door,0.5672,5.6
856926,palace,0.6129,6.609589041
586590,phone_booth,0.999,6.293333333
406917,wet_bar,0.7445,2.994382022
80007,corn_field,0.977,6.111702128
2548,corridor,0.9496,5.018518519
254101,swamp,0.6992,5.957345972
915514,parking_garage/indoor,0.5251,5.365671642
275472,plaza,0.5958,4.516216216
745518,iceberg,0.8853,4.64021164
288625,igloo,0.5978,5.388571429
615103,library/indoor,0.8574,5.30125523
742699,desert/vegetation,0.6907,6.470414201
57306,art_school,0.7916,5.893700787
2231,parking_lot,0.5545,4.038626609
747592,wheat_field,0.9957,5.834123223
629058,veterinarians_office,0.8605,5.42962963
40336,pub/indoor,0.6409,4.537815126
542785,corridor,0.5563,6.120418848
919182,staircase,0.9776,7.911764706
98469,corridor,0.5479,5.215547703
504311,raft,0.6717,5.893518519
874083,river,0.7697,4.445945946
886978,boardwalk,0.7259,4.870748299
693206,windmill,0.5178,4.247191011
170753,dentists_office,0.7805,4.225352113
197293,lock_chamber,0.5819,5.029090909
27893,street,0.6346,5.87890625
468354,music_store,0.5643,5.791878173
55563,mansion,0.9189,5.779904306
10733,igloo,0.9737,5.248927039
476737,pagoda,0.6384,5.464480874
401086,iceberg,0.5964,5.042944785
261361,planetarium/outdoor,0.6308,4.815789474
864926,casino/indoor,0.9438,6.601398601
547499,field/cultivated,0.7383,4.894039735
93573,veterinarians_office,0.7556,4.714285714
99507,volleyball_court/outdoor,0.9909,4.692307692
282935,tower,0.5857,4.877118644
905528,firing_range/indoor,0.5133,5.897849462
633747,pharmacy,0.8839,5.573033708
175127,lift_bridge,0.9041,4.740601504
698787,ski_slope,0.6125,5.407407407
66196,chemistry_lab,0.7222,5.109489051
105716,firing_range/indoor,0.9983,6.236842105
174771,cloister/indoor,0.6901,5.598086124
116319,music_store,0.9116,4.362573099
479356,parlor,0.624,5.005405405
243930,cliff,0.6919,4.838709677
550503,windmill,0.8329,5.880829016
768641,ruin,0.7539,6.208588957
239484,fire_escape,0.9581,5.333333333
654625,tower,0.9396,5.652719665
894487,wet_bar,0.9504,6.509090909
350194,tower,0.7469,5.684210526
7840,game_room,0.6291,5.138790036
724458,dining_car,0.6025,4.886138614
705185,igloo,0.9027,5.317365269
784407,waiting_room,0.8696,5.140625
573511,mountain,0.6985,7.274038462
627828,dentists_office,0.6142,6.264705882
876105,rock_arch,0.9732,5.924137931
5033,playground,0.9988,5.13559322
602397,art_school,0.8769,4.715789474
203145,baseball_field,0.9456,3.670623145
58087,parking_garage/indoor,0.6224,5.463414634
12977,pharmacy,0.7478,5.99
934838,boardwalk,0.7819,6.010204082
14748,yard,0.6288,4.973958333
944511,engine_room,0.7482,6.076923077
233260,jacuzzi/indoor,0.7507,4.896666667
443475,slum,0.9468,5.004016064
755129,ski_slope,0.7789,5.818181818
872700,marsh,0.9813,5.506849315
47489,corn_field,0.9826,5.472340426
893127,residential_neighborhood,0.9545,5.090909091
118335,mountain,0.599,6.692682927
521724,chemistry_lab,0.8114,6.28440367
772582,medina,0.7526,6.331337325
768965,igloo,0.7373,5.0625
564409,elevator/door,0.5166,5.124137931
812453,mansion,0.7653,5.418181818
254219,canal/urban,0.6837,5.149425287
436144,hot_spring,0.8608,6.275132275
9407,heliport,0.8953,5.084388186
243159,booth/indoor,0.5347,4.8125
9816,dentists_office,0.6688,5.353233831
23701,wine_cellar/bottle_storage,0.9889,5.03196347
686468,engine_room,0.5971,5.113924051
695524,waterfall/fan,0.6324,6.5
511157,desert/vegetation,0.9227,4.424528302
892929,chemistry_lab,0.6526,4.810810811
297604,archive,0.714,5.238683128
570101,fastfood_restaurant,0.9928,5.259090909
66804,raft,0.5513,5.269662921
916260,covered_bridge/exterior,0.9872,5.237288136
390669,street,0.6092,4.205882353
64401,bow_window/outdoor,0.6873,6.213333333
182404,street,0.5281,4.632142857
848147,ice_floe,0.9748,4.985849057
677612,hayfield,0.5297,5.464788732
603382,valley,0.6838,5.260204082
93435,field/cultivated,0.9347,5.504716981
114714,dam,0.7787,4.63
94600,elevator/door,0.5535,4.71314741
382218,swamp,0.7977,6.157142857
159993,staircase,0.6137,4.867857143
80485,baseball_field,0.6236,6.186495177
923172,phone_booth,0.9949,5.427083333
577986,bathroom,0.92,5.447916667
127627,lock_chamber,0.6353,5.324175824
501799,wheat_field,0.9498,5.693989071
669846,windmill,0.5742,6.405063291
180859,desert/sand,0.6511,4.768382353
606118,tree_house,0.7903,4.840707965
488486,playground,0.9372,4.959821429
460036,shower,0.6434,5.676274945
862206,bathroom,0.9002,3.90647482
893752,booth/indoor,0.6619,5.311926606
505859,airplane_cabin,0.8968,5.10738255
96398,train_station/platform,0.535,5.064102564
571954,hayfield,0.985,5.574879227
475193,street,0.5346,6.473372781
902214,swamp,0.6572,5.9375
167013,archive,0.582,5.454976303
200352,coffee_shop,0.5445,5.5795053
458337,van_interior,0.6787,4.63125
677105,coffee_shop,0.896,6.402116402
489,burial_chamber,0.8486,6.033557047
673600,game_room,0.6805,5.358823529
115804,swamp,0.8629,3.350318471
195804,track/outdoor,0.965,5.656652361
300704,catacomb,0.5732,5.050228311
650795,veterinarians_office,0.5783,6.349514563
798157,waterfall/fan,0.8703,5.390697674
151585,clean_room,0.5518,4.993993994
936700,butte,0.7302,5.033333333
9804,podium/outdoor,0.7344,4.926315789
490307,bayou,0.9255,4.980263158
133963,moat/water,0.7446,5.404692082
151793,art_school,0.7285,4.916408669
321519,art_school,0.5328,4.05511811
10158,train_railway,0.5475,5.968421053
855659,attic,0.5274,4.93902439
292597,ice_floe,0.6821,5.715328467
520357,sea_cliff,0.8058,5.476470588
546816,coffee_shop,0.9574,5.317757009
448544,catacomb,0.5772,5.048780488
44844,house,0.9664,4.823129252
101815,rock_arch,0.6484,6.027777778
666834,ballroom,0.7302,5.763546798
787824,attic,0.6206,4.688888889
492205,martial_arts_gym,0.9945,5.545454545
799685,playground,0.8283,5.846153846
12155,museum/indoor,0.5321,5.335025381
48316,veterinarians_office,0.6319,6.183098592
237762,windmill,0.8148,5.075675676
239607,art_school,0.5467,4.165254237
54964,sea_cliff,0.7725,5.333333333
515616,waiting_room,0.7634,5.86440678
908308,art_gallery,0.8402,5.515151515
454558,islet,0.5679,4.464788732
4770,art_school,0.7364,4.873605948
722803,waterfall/block,0.6945,5.803797468
93858,home_office,0.7538,4.675572519
192702,fire_escape,0.7508,5.133079848
744291,corridor,0.8294,5.590062112
914201,lock_chamber,0.7582,5.289617486
777498,music_store,0.7779,5.735483871
905356,shopfront,0.8319,5.808988764
158585,stable,0.9857,4.54789272
167081,temple/south_asia,0.84,6.008733624
3100,firing_range/indoor,0.9841,5.716312057
639658,outhouse/outdoor,0.5903,5.058823529
57011,planetarium/outdoor,0.5296,4.532258065
424187,runway,0.944,4.993055556
821883,stable,0.9643,6.32
479887,desert/sand,0.8125,5.811320755
189607,islet,0.5173,6.898148148
40790,bow_window/outdoor,0.8973,4.558704453
86569,subway_station/platform,0.7929,4.56462585
66652,cliff,0.6147,5.814189189
261680,atrium/public,0.6341,5.505454545
659391,gift_shop,0.5679,5.814814815
921917,hill,0.5507,5.936781609
811595,bar,0.6748,5.274193548
787167,burial_chamber,0.8585,5.822695035
78685,phone_booth,0.9655,5.433333333
296938,art_gallery,0.8883,5.083333333
708770,doorway/outdoor,0.8593,6.62962963
743456,staircase,0.9607,6.055900621
483849,abbey,0.7291,5.296969697
557151,waterfall/block,0.5669,6.757575758
316835,playroom,0.8017,4.974874372
636452,playground,1.0,4.140969163
141122,hot_spring,0.7328,7.160714286
836141,mountain,0.7806,6.256756757
693444,kennel/outdoor,0.5222,5.942307692
150694,chemistry_lab,0.7414,4.864048338
707136,hayfield,0.9804,6.820512821
848284,coffee_shop,0.9605,4.971563981
570391,shower,0.8924,5.920245399
113056,archive,0.9373,5.47766323
616276,art_school,0.8881,6.154121864
719366,lift_bridge,0.5735,5.0
223781,elevator/door,0.8767,5.310483871
561309,coffee_shop,0.6435,5.746478873
335743,clothing_store,0.8326,6.483443709
35204,stable,0.9641,5.597222222
336718,marsh,0.9699,5.762331839
439012,staircase,0.5762,5.485576923
322504,outhouse/outdoor,0.9715,5.040816327
924526,trench,0.79,5.566666667
770044,music_store,0.629,5.916201117
766297,tree_house,0.546,4.495934959
727185,beauty_salon,0.5113,5.541666667
499193,athletic_field/outdoor,0.8624,5.295597484
861355,butte,0.692,6.443181818
938376,beauty_salon,0.5808,5.034013605
322491,waterfall/fan,0.8162,5.168316832
947110,bow_window/outdoor,0.9395,5.857142857
931139,windmill,0.7701,5.486486486
59663,skatepark,0.997,4.881422925
29592,tree_house,0.7817,4.739837398
13687,moat/water,0.8631,4.610328638
772189,field/cultivated,0.5166,5.629844961
943596,swamp,0.5837,5.912790698
879964,beauty_salon,0.6605,5.274390244
121241,church/outdoor,0.6023,5.207373272
659075,tree_house,0.7808,4.964757709
296739,burial_chamber,0.5853,4.772893773
375689,hot_spring,0.6151,5.664948454
106598,hot_spring,0.6896,6.064393939
226400,rice_paddy,0.7721,5.139830508
165994,cathedral/indoor,0.7542,5.645418327
442984,wine_cellar/bottle_storage,0.5477,5.552447552
723455,volcano,0.8978,4.968253968
841561,veterinarians_office,0.6848,6.176470588
629881,beauty_salon,0.5746,5.614814815
263729,industrial_area,0.5885,4.106463878
14793,highway,0.9851,6.222222222
18838,house,0.8805,3.618705036
863967,volcano,0.9998,6.834224599
153287,boardwalk,0.5197,5.159836066
786100,hot_spring,0.64,6.352517986
921072,islet,0.6233,5.796610169
298085,electrical_substation,0.8929,3.882978723
244393,moat/water,0.6648,5.898601399
103242,hill,0.8998,5.995495495
910283,mountain,0.5762,4.430769231
11484,office_building,0.6078,5.480582524
858914,elevator_shaft,0.5918,5.046391753
231339,fire_escape,0.9959,5.141263941
154026,library/indoor,0.858,6.200549451
479543,boat_deck,0.9269,5.450980392
471380,garbage_dump,0.5256,4.105726872
647868,shower,0.9561,5.320855615
669774,dentists_office,0.5321,5.012711864
759161,beauty_salon,0.7089,5.674418605
776853,car_interior/frontseat,0.5381,5.930232558
354542,apse/indoor,0.7471,4.656028369
38606,elevator/interior,0.6247,5.308724832
461399,river,0.62,4.542056075
545808,marsh,0.6751,6.008264463
824837,beauty_salon,0.5439,5.959183673
957587,forest_road,0.9186,7.358823529
11010,iceberg,0.7418,6.827160494
824386,bamboo_forest,0.9158,5.246666667
552791,playroom,0.5764,4.838888889
176314,burial_chamber,0.9298,4.22761194
537792,heliport,0.6427,5.772058824
759589,music_store,0.864,4.748663102
517766,moat/water,0.6494,4.621052632
112148,dentists_office,0.8588,6.138686131
85290,stage/indoor,0.8182,4.288389513
759401,river,0.6374,4.407821229
95340,pulpit,0.9869,4.603305785
662207,atrium/public,0.5568,4.827777778
779702,waterfall/block,0.6027,6.270588235
834824,childs_room,0.839,5.659863946
118082,home_office,0.7522,5.375
254786,garbage_dump,0.5123,4.670682731
322249,playroom,0.6023,5.242307692
138624,art_school,0.5946,5.433962264
263437,igloo,0.7416,5.832764505
546898,observatory/outdoor,0.6256,5.648648649
254159,railroad_track,0.8819,5.600961538
543234,subway_station/platform,0.7643,6.26344086
733279,ballroom,0.5223,6.322404372
934381,escalator/indoor,0.8033,4.777777778
473638,islet,0.8102,5.862857143
493743,igloo,0.7976,4.007874016
536773,pulpit,0.5862,5.550802139
909495,forest_road,0.5525,6.703883495
877288,clothing_store,0.9356,4.69375
832324,ice_floe,0.5313,6.323741007
133779,ice_floe,0.8382,5.212389381
183847,firing_range/indoor,0.9284,5.146258503
625974,clean_room,0.5506,5.375838926
55045,igloo,0.6459,6.152073733
946865,batters_box,0.5063,5.791044776
375360,elevator_shaft,0.811,6.306603774
177528,palace,0.7648,6.199134199
116702,canal/urban,0.9162,5.702811245
870134,childs_room,0.8764,4.492307692
65619,clothing_store,0.7982,4.260714286
56983,bow_window/outdoor,0.8845,4.644351464
457800,canal/urban,0.5048,6.138157895
933145,bar,0.8787,6.004926108
544048,baseball_field,0.9056,5.166666667
829084,volcano,0.5812,5.708955224
648473,childs_room,0.8089,3.732394366
791844,hot_spring,0.5484,5.205761317
416147,hayfield,0.5778,5.025
618273,veterinarians_office,0.8202,5.903846154
766304,railroad_track,0.9945,4.931216931
231236,residential_neighborhood,0.7012,5.631782946
648979,reception,0.8441,4.746376812
729203,stage/indoor,0.6015,6.161676647
215716,archive,0.6272,4.723636364
823870,burial_chamber,0.6069,5.784722222
647457,wet_bar,0.799,3.762589928
745895,skatepark,0.9655,5.523809524
94010,diner/indoor,0.8912,6.772563177
928155,train_railway,0.937,5.43697479
450695,clean_room,0.5404,5.850174216
759411,swamp,0.9214,5.609195402
301429,abbey,0.5752,4.972972973
729925,shower,0.5184,3.494117647
445056,canal/natural,0.5867,5.615023474
96974,forest_path,0.7546,6.2
922666,phone_booth,0.5309,5.766839378
917094,industrial_area,0.7825,5.6125
39877,stadium/football,0.6787,4.242677824
793835,firing_range/indoor,0.9862,6.383886256
933101,biology_laboratory,0.5917,6.314102564
523105,electrical_substation,0.7707,5.432692308
768742,power_plant/outdoor,0.6653,4.568493151
830540,bedroom,0.6662,6.770186335
24406,raft,0.5597,6.319838057
12178,railroad_track,0.9829,6.166666667
849879,waterfall/plunge,0.695,5.280254777
781898,train_railway,0.635,5.643518519
459337,mausoleum,0.6866,5.494791667
61482,stage/indoor,0.7616,6.659649123
477495,mountain_snowy,0.8441,5.413407821
828257,firing_range/indoor,0.6806,6.141843972
347028,mountain_snowy,0.7982,5.729323308
830821,airplane_cabin,0.6748,4.931034483
627916,fire_station,0.7794,4.860082305
346148,labyrinth/outdoor,0.6723,5.562043796
236456,corn_field,0.8324,4.958139535
425151,playroom,0.775,6.385542169
260586,athletic_field/outdoor,0.8379,5.614864865
795656,pub/indoor,0.9216,5.331034483
232344,canal/urban,0.6018,5.096491228
360315,art_school,0.6224,5.357142857
830452,river,0.5755,5.174698795
306867,stable,0.7255,5.891774892
854752,waterfall/fan,0.624,5.774647887
349018,stage/indoor,0.9795,3.245210728
281887,diner/indoor,0.7972,5.203773585
386910,clothing_store,0.5071,5.456790123
839624,phone_booth,0.9848,5.888888889
951751,hill,0.6477,5.348148148
276164,street,0.8436,5.326145553
784780,cloister/indoor,0.6553,6.164179104
446662,veterinarians_office,0.5495,4.835
315930,airplane_cabin,0.6541,5.448113208
175582,windmill,0.9405,5.316546763
797905,carrousel,0.9799,5.040650407
288092,airplane_cabin,0.8886,4.5
468567,playroom,0.8758,5.477832512
765339,gas_station,0.9237,5.604166667
257661,physics_laboratory,0.8087,4.804347826
327657,beauty_salon,0.5008,5.673366834
178841,hayfield,0.9926,4.683890578
345943,market/outdoor,0.8608,5.31
343247,booth/indoor,0.5005,4.375
356867,playground,0.677,5.065116279
684225,fire_station,0.9781,4.032786885
